Step,Atom_i,Atom_j,Element_i,Element_j,Bond_type,Distance_A
5000,6,7,H,O,O-H,1.0694487598758529
5000,7,8,O,C,C-O,1.3073846564802587
5000,8,9,C,O,C-O,1.2359982726525152
5000,8,10,C,H,C-H,1.08884150361749
5100,1,2,H,C,C-H,1.102034105642834
5100,2,3,C,O,C-O,1.2380711166972582
5100,2,4,C,O,C-O,1.3497927729840604
5100,4,5,O,H,O-H,1.0611919430527168
5100,6,7,H,O,O-H,1.039756053120154
5100,7,8,O,C,C-O,1.337661724801902
5100,8,9,C,O,C-O,1.2294304128335203
5100,8,10,C,H,C-H,1.1616091511347537
5200,1,2,H,C,C-H,1.1376336053404892
5200,2,3,C,O,C-O,1.217402961225246
5200,2,4,C,O,C-O,1.31929110131161
5200,4,5,O,H,O-H,1.0375864542292366
5200,6,7,H,O,O-H,1.077053763746268
5200,7,8,O,C,C-O,1.3393913057803515
5200,8,9,C,O,C-O,1.243074515063356
5200,8,10,C,H,C-H,1.0874086858214824
5300,1,2,H,C,C-H,1.1333562458468236
5300,2,3,C,O,C-O,1.2345150505360387
5300,2,4,C,O,C-O,1.287634299791675
5300,4,5,O,H,O-H,1.0188477413235015
5300,6,7,H,O,O-H,1.0361169480324113
5300,7,8,O,C,C-O,1.3311958007746254
5300,8,9,C,O,C-O,1.2358538101248076
5300,8,10,C,H,C-H,1.1610063651849618
5400,1,2,H,C,C-H,1.1093349629395095
5400,2,3,C,O,C-O,1.2317043598201645
5400,2,4,C,O,C-O,1.298743812304798
5400,4,5,O,H,O-H,1.0646177201230502
5400,6,7,H,O,O-H,1.0293113328823307
5400,7,8,O,C,C-O,1.3182222308852187
5400,8,9,C,O,C-O,1.2449685176742402
5400,8,10,C,H,C-H,1.0865696710289694
5500,1,2,H,C,C-H,1.152746528947278
5500,2,3,C,O,C-O,1.2437713455454744
5500,2,4,C,O,C-O,1.3039806210216487
5500,4,5,O,H,O-H,1.0440589734301404
5500,6,7,H,O,O-H,1.0284741173213832
5500,7,8,O,C,C-O,1.3018448064189512
5500,8,9,C,O,C-O,1.2477495501902611
5500,8,10,C,H,C-H,1.1467016264050562
5600,1,2,H,C,C-H,1.0662731826319163
5600,2,3,C,O,C-O,1.2355150100261814
5600,2,4,C,O,C-O,1.3266891610320803
5600,4,5,O,H,O-H,0.9943939913334144
5600,6,7,H,O,O-H,1.0029833797227146
5600,7,8,O,C,C-O,1.303473551707129
5600,8,9,C,O,C-O,1.230292262025571
5600,8,10,C,H,C-H,1.1072552822181536
5700,1,2,H,C,C-H,1.1849042577356201
5700,2,3,C,O,C-O,1.205313614790772
5700,2,4,C,O,C-O,1.3253342069078264
5700,4,5,O,H,O-H,1.0471601071469432
5700,6,7,H,O,O-H,1.0089618278210528
5700,7,8,O,C,C-O,1.2716425795010193
5700,8,9,C,O,C-O,1.2247765918729814
5700,8,10,C,H,C-H,1.1149345675868159
5800,1,2,H,C,C-H,1.096287799804413
5800,2,3,C,O,C-O,1.2206924797015828
5800,2,4,C,O,C-O,1.3040928072802178
5800,4,5,O,H,O-H,1.0419577246702483
5800,6,7,H,O,O-H,1.0201361624802823
5800,7,8,O,C,C-O,1.286171314405667
5800,8,9,C,O,C-O,1.2146673536404933
5800,8,10,C,H,C-H,1.147120364216414
5900,1,2,H,C,C-H,1.1231573042098768
5900,2,3,C,O,C-O,1.2315946532849182
5900,2,4,C,O,C-O,1.280827396646402
5900,4,5,O,H,O-H,1.0360610454987689
5900,6,7,H,O,O-H,1.0378485727696518
5900,7,8,O,C,C-O,1.3326454329640716
5900,8,9,C,O,C-O,1.2340339582037443
5900,8,10,C,H,C-H,1.0923134348711452
6000,1,2,H,C,C-H,1.1656408623585561
6000,2,3,C,O,C-O,1.2125778284299922
6000,2,4,C,O,C-O,1.2525268100923028
6000,4,5,O,H,O-H,1.068681084327781
6000,6,7,H,O,O-H,1.005695644815071
6000,7,8,O,C,C-O,1.3411831865930917
6000,8,9,C,O,C-O,1.2415007168745416
6000,8,10,C,H,C-H,1.1636865815158304
6100,1,2,H,C,C-H,1.08501806897397
6100,2,3,C,O,C-O,1.2421792946269885
6100,2,4,C,O,C-O,1.249404954368278
6100,4,5,O,H,O-H,1.0606937588201422
6100,6,7,H,O,O-H,1.0622474146826624
6100,7,8,O,C,C-O,1.3225738882950944
6100,8,9,C,O,C-O,1.2604233296793572
6100,8,10,C,H,C-H,1.06722998927129
6200,1,2,H,C,C-H,1.1620903794455897
6200,2,3,C,O,C-O,1.2397591943599373
6200,2,4,C,O,C-O,1.2975725567381595
6200,4,5,O,H,O-H,1.0199546166374267
6200,6,7,H,O,O-H,1.0306651929700545
6200,7,8,O,C,C-O,1.3356737850238736
6200,8,9,C,O,C-O,1.2424152808139468
6200,8,10,C,H,C-H,1.16209373546199
6300,1,2,H,C,C-H,1.089622324477615
6300,2,3,C,O,C-O,1.2441903110055152
6300,2,4,C,O,C-O,1.3361560125973322
6300,4,5,O,H,O-H,1.002210686432747
6300,6,7,H,O,O-H,0.9941759502220909
6300,7,8,O,C,C-O,1.3113599238958003
6300,8,9,C,O,C-O,1.2454186525020414
6300,8,10,C,H,C-H,1.0863662365887505
6400,1,2,H,C,C-H,1.150186893509051
6400,2,3,C,O,C-O,1.2468051571917729
6400,2,4,C,O,C-O,1.3356214733224379
6400,4,5,O,H,O-H,1.046082013993168
6400,6,7,H,O,O-H,1.0472276065879857
6400,7,8,O,C,C-O,1.2927927405427382
6400,8,9,C,O,C-O,1.2247033355061951
6400,8,10,C,H,C-H,1.1446156254393876
6500,1,2,H,C,C-H,1.1153262751320807
6500,2,3,C,O,C-O,1.2421510133635099
6500,2,4,C,O,C-O,1.333486149159413
6500,4,5,O,H,O-H,1.099967626796353
6500,6,7,H,O,O-H,1.0023508467597553
6500,7,8,O,C,C-O,1.2664943742472758
6500,8,9,C,O,C-O,1.2193591964634554
6500,8,10,C,H,C-H,1.0893228125766945
6600,1,2,H,C,C-H,1.135353077240731
6600,2,3,C,O,C-O,1.2511228676672799
6600,2,4,C,O,C-O,1.3106391761274339
6600,4,5,O,H,O-H,1.1658888540508474
6600,6,7,H,O,O-H,1.034333345686968
6600,7,8,O,C,C-O,1.2492948931297205
6600,8,9,C,O,C-O,1.2316139979717657
6600,8,10,C,H,C-H,1.1293481394149452
6700,1,2,H,C,C-H,1.1343102309333182
6700,2,3,C,O,C-O,1.235424797387524
6700,2,4,C,O,C-O,1.314671860199342
6700,4,5,O,H,O-H,1.0507979444212863
6700,6,7,H,O,O-H,0.9557129014510601
6700,7,8,O,C,C-O,1.272017122526266
6700,8,9,C,O,C-O,1.2181394911913808
6700,8,10,C,H,C-H,1.1136146775254019
6800,1,2,H,C,C-H,1.1127823506867822
6800,2,3,C,O,C-O,1.2372006910764313
6800,2,4,C,O,C-O,1.2937959228564588
6800,4,5,O,H,O-H,1.0368832914074748
6800,6,7,H,O,O-H,0.9724451295574463
6800,7,8,O,C,C-O,1.2698785532483032
6800,8,9,C,O,C-O,1.234389444219288
6800,8,10,C,H,C-H,1.1024167542268195
6900,1,2,H,C,C-H,1.154307584658438
6900,2,3,C,O,C-O,1.2172329316938482
6900,2,4,C,O,C-O,1.284010595750675
6900,4,5,O,H,O-H,1.0619519621903803
6900,6,7,H,O,O-H,1.0505012422648534
6900,7,8,O,C,C-O,1.29908186808992
6900,8,9,C,O,C-O,1.2122852675835012
6900,8,10,C,H,C-H,1.1629002493765312
7000,1,2,H,C,C-H,1.0860495798995553
7000,2,3,C,O,C-O,1.243659752504678
7000,2,4,C,O,C-O,1.251524514342408
7000,4,5,O,H,O-H,1.0396334883024878
7000,6,7,H,O,O-H,1.0767285823270434
7000,7,8,O,C,C-O,1.324622368828188
7000,8,9,C,O,C-O,1.240465658533117
7000,8,10,C,H,C-H,1.0815540393341423
7100,1,2,H,C,C-H,1.1584991368145259
7100,2,3,C,O,C-O,1.219629804489873
7100,2,4,C,O,C-O,1.2650336952034114
7100,4,5,O,H,O-H,1.0474498603751867
7100,6,7,H,O,O-H,1.01171534039966
7100,7,8,O,C,C-O,1.341499362653593
7100,8,9,C,O,C-O,1.2389388241555759
7100,8,10,C,H,C-H,1.1750932048139842
7200,1,2,H,C,C-H,1.1028867122238812
7200,2,3,C,O,C-O,1.2469571163436182
7200,2,4,C,O,C-O,1.2962560665238945
7200,4,5,O,H,O-H,1.048487968457435
7200,6,7,H,O,O-H,1.0170764867992967
7200,7,8,O,C,C-O,1.3414829443567293
7200,8,9,C,O,C-O,1.250304382940412
7200,8,10,C,H,C-H,1.0737886244508283
7300,1,2,H,C,C-H,1.1461376967886558
7300,2,3,C,O,C-O,1.230649535814318
7300,2,4,C,O,C-O,1.3457350222090518
7300,4,5,O,H,O-H,1.0238345667147597
7300,6,7,H,O,O-H,0.9669433230546659
7300,7,8,O,C,C-O,1.343734918054898
7300,8,9,C,O,C-O,1.2200090737367482
7300,8,10,C,H,C-H,1.158688474094742
7400,1,2,H,C,C-H,1.1265259073807405
7400,2,3,C,O,C-O,1.2524090426054892
7400,2,4,C,O,C-O,1.3448129461006844
7400,4,5,O,H,O-H,1.0045959287196013
7400,6,7,H,O,O-H,1.0510304943244981
7400,7,8,O,C,C-O,1.3066211463159467
7400,8,9,C,O,C-O,1.240662427898904
7400,8,10,C,H,C-H,1.0967453897783206
7500,1,2,H,C,C-H,1.0994803954596
7500,2,3,C,O,C-O,1.24476637968737
7500,2,4,C,O,C-O,1.3504505248249559
7500,4,5,O,H,O-H,1.0276043742608323
7500,6,7,H,O,O-H,1.0523019766207806
7500,7,8,O,C,C-O,1.324789866356173
7500,8,9,C,O,C-O,1.2189685352789053
7500,8,10,C,H,C-H,1.1446751984733465
7600,1,2,H,C,C-H,1.170616956993192
7600,2,3,C,O,C-O,1.2297558253572136
7600,2,4,C,O,C-O,1.3217286181361139
7600,4,5,O,H,O-H,1.0251119597390324
7600,6,7,H,O,O-H,1.0542346512992278
7600,7,8,O,C,C-O,1.3247665492455647
7600,8,9,C,O,C-O,1.260039975556331
7600,8,10,C,H,C-H,1.1218787189353396
7700,1,2,H,C,C-H,1.0890494479131796
7700,2,3,C,O,C-O,1.2188348862745917
7700,2,4,C,O,C-O,1.265094577492134
7700,4,5,O,H,O-H,1.0054259296437502
7700,6,7,H,O,O-H,0.9743778579175528
7700,7,8,O,C,C-O,1.3364541481098415
7700,8,9,C,O,C-O,1.2411751931133663
7700,8,10,C,H,C-H,1.1099876440753724
7800,1,2,H,C,C-H,1.1629875063817328
7800,2,3,C,O,C-O,1.224751264543132
7800,2,4,C,O,C-O,1.2543329781202426
7800,4,5,O,H,O-H,0.9927427713159125
7800,6,7,H,O,O-H,1.0056292408238732
7800,7,8,O,C,C-O,1.32612464346305
7800,8,9,C,O,C-O,1.242112289609921
7800,8,10,C,H,C-H,1.1401039031597093
7900,1,2,H,C,C-H,1.1026830913730377
7900,2,3,C,O,C-O,1.2309336700245044
7900,2,4,C,O,C-O,1.2797671897653886
7900,4,5,O,H,O-H,1.0509557745214584
7900,6,7,H,O,O-H,1.0687447216243924
7900,7,8,O,C,C-O,1.3236064407519332
7900,8,9,C,O,C-O,1.2533519457837847
7900,8,10,C,H,C-H,1.1061618959266317
8000,1,2,H,C,C-H,1.1268268012432094
8000,2,3,C,O,C-O,1.2338776641142328
8000,2,4,C,O,C-O,1.3027136369901107
8000,4,5,O,H,O-H,1.0758045315018891
8000,6,7,H,O,O-H,1.0634799198856553
8000,7,8,O,C,C-O,1.3237244615100228
8000,8,9,C,O,C-O,1.2297961009858505
8000,8,10,C,H,C-H,1.1383744814427268
8100,1,2,H,C,C-H,1.1305472391722524
8100,2,3,C,O,C-O,1.2458603974763807
8100,2,4,C,O,C-O,1.3200761834076082
8100,4,5,O,H,O-H,1.0535757827512933
8100,6,7,H,O,O-H,1.0668270618989752
8100,7,8,O,C,C-O,1.2988114143323495
8100,8,9,C,O,C-O,1.2465671943381136
8100,8,10,C,H,C-H,1.1060792602702594
8200,1,2,H,C,C-H,1.105199389250645
8200,2,3,C,O,C-O,1.2389314024593916
8200,2,4,C,O,C-O,1.3538594240171322
8200,4,5,O,H,O-H,1.0267118242233306
8200,6,7,H,O,O-H,1.0037309300803663
8200,7,8,O,C,C-O,1.2958518549587366
8200,8,9,C,O,C-O,1.2296408093423057
8200,8,10,C,H,C-H,1.1263490489186745
8300,1,2,H,C,C-H,1.1459748426558063
8300,2,3,C,O,C-O,1.2556327528381839
8300,2,4,C,O,C-O,1.3511627659168233
8300,4,5,O,H,O-H,1.0191352020217923
8300,6,7,H,O,O-H,1.0208107023341793
8300,7,8,O,C,C-O,1.2924121401472504
8300,8,9,C,O,C-O,1.2363210181825766
8300,8,10,C,H,C-H,1.1106506066265838
8400,1,2,H,C,C-H,1.0923892529680053
8400,2,3,C,O,C-O,1.2279353281016065
8400,2,4,C,O,C-O,1.3562949900371974
8400,4,5,O,H,O-H,1.032371163874699
8400,6,7,H,O,O-H,0.996883814694571
8400,7,8,O,C,C-O,1.326385471874597
8400,8,9,C,O,C-O,1.2323600650783846
8400,8,10,C,H,C-H,1.1204775990621139
8500,1,2,H,C,C-H,1.1492091802626696
8500,2,3,C,O,C-O,1.2330509924573283
8500,2,4,C,O,C-O,1.3117948353305868
8500,4,5,O,H,O-H,1.0023686597255514
8500,6,7,H,O,O-H,1.0483962657316197
8500,7,8,O,C,C-O,1.344187974205987
8500,8,9,C,O,C-O,1.252515987921911
8500,8,10,C,H,C-H,1.114201907196356
8600,1,2,H,C,C-H,1.0824575788454687
8600,2,3,C,O,C-O,1.218030627693738
8600,2,4,C,O,C-O,1.2738251489117338
8600,4,5,O,H,O-H,1.0322101772410512
8600,6,7,H,O,O-H,1.0633709559697408
8600,7,8,O,C,C-O,1.3540604824009896
8600,8,9,C,O,C-O,1.2313620872838322
8600,8,10,C,H,C-H,1.134788636707294
8700,1,2,H,C,C-H,1.160612855348413
8700,2,3,C,O,C-O,1.2569221018026537
8700,2,4,C,O,C-O,1.2524261614961583
8700,4,5,O,H,O-H,1.118564173393732
8700,6,7,H,O,O-H,1.1070003477867583
8700,7,8,O,C,C-O,1.3242351830396282
8700,8,9,C,O,C-O,1.2785955146175048
8700,8,10,C,H,C-H,1.111966586728216
8800,1,2,H,C,C-H,1.1063037919125116
8800,2,3,C,O,C-O,1.2073140974907883
8800,2,4,C,O,C-O,1.2985795123903654
8800,4,5,O,H,O-H,1.0677332485223077
8800,6,7,H,O,O-H,1.0176486770983397
8800,7,8,O,C,C-O,1.3590279099415146
8800,8,9,C,O,C-O,1.193412912616585
8800,8,10,C,H,C-H,1.125579832797301
8900,1,2,H,C,C-H,1.1295013058868075
8900,2,3,C,O,C-O,1.2543225900859767
8900,2,4,C,O,C-O,1.2898006590167332
8900,4,5,O,H,O-H,0.9778292540111497
8900,6,7,H,O,O-H,1.0243922442111701
8900,7,8,O,C,C-O,1.2926844046402055
8900,8,9,C,O,C-O,1.2717595763350866
8900,8,10,C,H,C-H,1.1226663662905376
9000,1,2,H,C,C-H,1.1302742189398105
9000,2,3,C,O,C-O,1.2251016202748248
9000,2,4,C,O,C-O,1.3220250148919255
9000,4,5,O,H,O-H,1.043628367763162
9000,6,7,H,O,O-H,1.0699427367854792
9000,7,8,O,C,C-O,1.292532421256811
9000,8,9,C,O,C-O,1.1999542199600786
9000,8,10,C,H,C-H,1.1228885519053096
9100,1,2,H,C,C-H,1.1002134202053722
9100,2,3,C,O,C-O,1.2606816330858466
9100,2,4,C,O,C-O,1.3249703279696479
9100,4,5,O,H,O-H,1.041347146728698
9100,6,7,H,O,O-H,1.055061329970916
9100,7,8,O,C,C-O,1.2363920130767592
9100,8,9,C,O,C-O,1.2383258779497428
9100,8,10,C,H,C-H,1.1227647750085497
9200,1,2,H,C,C-H,1.1503199337575616
9200,2,3,C,O,C-O,1.235270533122196
9200,2,4,C,O,C-O,1.3523315384919479
9200,4,5,O,H,O-H,1.0135766867879312
9200,6,7,H,O,O-H,1.0072007198170572
9200,7,8,O,C,C-O,1.2632092225755793
9200,8,9,C,O,C-O,1.2226598627582417
9200,8,10,C,H,C-H,1.1178922577780017
9300,1,2,H,C,C-H,1.0888070582063643
9300,2,3,C,O,C-O,1.2655146502510344
9300,2,4,C,O,C-O,1.3222226325396202
9300,4,5,O,H,O-H,1.0155040374119642
9300,6,7,H,O,O-H,1.0212003965921685
9300,7,8,O,C,C-O,1.3011963764167191
9300,8,9,C,O,C-O,1.2411253643367393
9300,8,10,C,H,C-H,1.1137445892124458
9400,1,2,H,C,C-H,1.1593835819089386
9400,2,3,C,O,C-O,1.2285169717997377
9400,2,4,C,O,C-O,1.313477316134542
9400,4,5,O,H,O-H,1.0130841228644345
9400,6,7,H,O,O-H,0.9998670561629688
9400,7,8,O,C,C-O,1.3141263485677468
9400,8,9,C,O,C-O,1.2451288688324584
9400,8,10,C,H,C-H,1.1224354458052377
9500,1,2,H,C,C-H,1.0853370259969939
9500,2,3,C,O,C-O,1.2378959770513838
9500,2,4,C,O,C-O,1.2909853988329998
9500,4,5,O,H,O-H,1.0868540518395273
9500,6,7,H,O,O-H,1.0354098222443147
9500,7,8,O,C,C-O,1.3243284902168335
9500,8,9,C,O,C-O,1.247859327007657
9500,8,10,C,H,C-H,1.1057438627457985
9600,1,2,H,C,C-H,1.1774403169587828
9600,2,3,C,O,C-O,1.2332714137609775
9600,2,4,C,O,C-O,1.2577346858538987
9600,4,5,O,H,O-H,1.0859074592247722
9600,6,7,H,O,O-H,1.0599499469314575
9600,7,8,O,C,C-O,1.339493687928391
9600,8,9,C,O,C-O,1.2288986695411477
9600,8,10,C,H,C-H,1.1176046215008235
9700,1,2,H,C,C-H,1.0761454409140059
9700,2,3,C,O,C-O,1.21200008663366
9700,2,4,C,O,C-O,1.2538980859703062
9700,4,5,O,H,O-H,1.1301014025298797
9700,6,7,H,O,O-H,1.0131114548755233
9700,7,8,O,C,C-O,1.316679592763553
9700,8,9,C,O,C-O,1.2538952308705855
9700,8,10,C,H,C-H,1.1229397045255811
9800,1,2,H,C,C-H,1.166208330445294
9800,2,3,C,O,C-O,1.249347145512407
9800,2,4,C,O,C-O,1.2430722786708737
9800,4,5,O,H,O-H,1.1129179439653232
9800,6,7,H,O,O-H,1.0060594465537305
9800,7,8,O,C,C-O,1.3260736857354494
9800,8,9,C,O,C-O,1.2229625832379334
9800,8,10,C,H,C-H,1.095983019941458
9900,1,2,H,C,C-H,1.1458994763939807
9900,2,3,C,O,C-O,1.2125426054370205
9900,2,4,C,O,C-O,1.3043654280913766
9900,4,5,O,H,O-H,1.0337914780070505
9900,6,7,H,O,O-H,1.0230331617303519
9900,7,8,O,C,C-O,1.2822237090305266
9900,8,9,C,O,C-O,1.2078769225380537
9900,8,10,C,H,C-H,1.132801814087532
10000,1,2,H,C,C-H,1.0911881414311653
10000,2,3,C,O,C-O,1.2457106485857776
10000,2,4,C,O,C-O,1.3267453184390723
10000,4,5,O,H,O-H,1.0688609497965589
10000,6,7,H,O,O-H,1.0006478551418578
10000,7,8,O,C,C-O,1.2596654357407766
10000,8,9,C,O,C-O,1.2152321835764557
10000,8,10,C,H,C-H,1.0999625311800403
